"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",40.42,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Algeria","LFS - Household Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2017",43.7,,,,"Data reference period: September"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.13,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",45.12,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Spain","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.42,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Estonia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.18,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Ethiopia","LFS - National Labor Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",31.92,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Finland","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.15,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Fiji","LFS - Employment, Unemployment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",37.33,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Falkland Islands, Malvinas","PC - Population Census","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",42.2,,,"Working time concept: Hours usually worked","Population coverage: Excluding armed forces and/or conscripts"
"France","LFS - Employment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",35.71,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Micronesia, Federated States of","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2014",30.37,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Gabon","LFS - National Employment and Unemployment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",46.31,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.92,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Georgia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",40.01,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",35.53,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",43.55,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Guinea-Bissau","LFS - Integrated Regional Survey on Employment and Informal Sector","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2018",42.99,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Equatorial Guinea","HIES - National Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",45.13,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",39.52,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",42.42,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",42,"Break in series",,"Job coverage: Main job currently held | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Guyana","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",44.25,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Hong Kong, China","LFS - General Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",43,,,,"Geographical coverage: Government controlled areas | Population coverage: Excluding institutional population"
"Honduras","HS - Continous Multi-Purpose Household Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",43.71,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter"
"Croatia","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.65,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Haiti","HIES - Households Living Conditions Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2012",41.94,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Hungary","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",37.29,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Indonesia","LFS - National Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",38.36,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Isle of Man","ES - Labour-related Establishment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2013",35,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers","Reference group coverage: Employees"
"India","LFS - Periodic Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",45.45,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
